Cruise No.,Cast where bottle chl-a is recorded,Depth of Chlorophyll Maximum (dbar)*,,,,*Calculated as average of the maxima from each cast on that cruise.
1,81,nan,,,,
2,1,nan,,,,
3,6,nan,,,,
4,5,nan,,,,
5,5 (85),nan,,,,
6,6 (86),nan,,,,
7,10,nan,,,,
8,6,nan,,,,
9,6,113,,,,
10,7,104,,,,
11,83,nan,,,,
12,nan,nan,,,,
13,4,101,,,,
14,4,nan,,,,
15,2,120,,,,
16,4,88,,,,
17,84,nan,,,,
18,3,64,,,,
19,4,80,,,,
20,4,116,,,,
21,3,113,,,,
22,3,120,,,,
23,3,119,,,,
24,3,117,,,,
25,3,119,,,,
26,1,110,,,,
27,"5, 6",77,,cast 5 = no fluorescence,,
28,3,50,,,,
29,1,101,,,,
30,2,146,,,,
31,4,70,,,,
32,2,88,,,,
33,5,107,,,,
34,1,100,,,,
35,3,125,,,,
36,4,117,,,,
37,2,112,,,,
38,2,94,,,,
39,2,96,,,,
40,3,51,,,,
41,3,45,,,,
42,4,71,,,,
43,4,91,,,,
44,7,nan,,,,
45,4,81,,,,
46,4,111,,,,
47,3,nan,,,,
48,4,84,,,,
49,4,76,,,,
50,5,102,,,,
51,2,42,,,,
52,1,nan,,,,
53,2,81,,,,
54,2,62,,,,
55,1,121,,,,
56,3,70,,,,
57,3,118,,,,
58,4,122,,,,
59,2,126,,,,
60,3,96,,,,
61,3,94,,,,
62,3,134,,,,
63,4,95,,,,
64,4,493,,????,,
65,6,46,,,,
66,7,196,,,,
67,4,125,,,,
68,3,118,,,,
69,5,102,,,,
70,4,102,,,,
71,4,117,,,,
72,4,117,,,,
73,4,52,,,,
74,5,108,,,,
75,5,100,,,,
76,5,94,,,,
77,4,8,,,,
78,3,57,,,,
79,4,80,,,,
80,7,67,,,,
81,4,95,,,,
82,3,103,,,,
83,6,124,,,,
84,4,101,,,,
85,"4, 6",102,,*avg of two casts 4 and 6,,
86,3,91,,,,
87,3,79,,,,
88,2,45,,,,
89,5,42,,,,
90,2,51,,,,
91,3,62,,,,
92,2,81,,,,
93,3,92,,,,
94,"1, 7, 9",98,,"*avg of three casts 1, 7, and 9",,
95,3,101,,,,
96,1,113,,,,
97,3,98,,,,
98,2,99,,,,
99,1,40,,,,
100,2,22,,,,
101,1,77,,,,
102,2,119,,,,
103,2,70,,,,
104,2,103,,,,
105,3,90,,,,
106,2,102,,,,
107,3,130,,,,
108,2,125,,,,
109,3,96,,,,
110,1,74,,,,
111,1,49,,,,
112,1,89,,,,
113,2,70,,,,
114,2,53,,,,
115,2,93,,,,
116,1,97,,,,
117,1,90,,,,
118,4,106,,,,
119,3,113,,,,
120,3,79,,,,
121,2,74,,,,
122,3,86,,,,
123,3,97,,,,
124,3,115,,,,
125,3,69,,,,
126,2,5,,,,
127,2,42,,,,
128,2,80,,,,
129,"3, 7",112,,,,
130,4,107,,,,
131,3,113,,,,
132,2,143,,,,
133,2,95,,,,
